id;created_at;created_by;modified_at;platform
1;2022-08-02T03:40:32;90815;2022-08-01T21:31:41;WEB
2;2022-08-01T15:44:47;91452;2022-08-01T13:46:42;API
3;2022-08-01T21:58:28;3143;2022-08-01T11:05:09;IOS
4;2022-08-01T23:30:57;8994;2022-08-02T04:19:41;ANDROID
5;2022-08-01T21:13:06;46183;2022-08-02T05:48:43;WEB
6;2022-08-02T00:47:17;43303;2022-08-01T16:15:11;API
7;2022-08-01T20:57:50;98509;2022-08-02T00:39:34;ANDROID
8;2022-08-02T08:40:16;35450;2022-08-01T13:37:07;WEB
9;2022-08-01T18:06:29;11455;2022-08-02T08:58:31;ANDROID
10;2022-08-01T19:16:00;76976;2022-08-01T22:17:48;API
