id;code;level_name;description;url;created_at;created_by;modified_at
1;Engineer Underpass projection;enable Chips indexing;Architect Egypt;http://aliya.biz;2022-08-02T10:13:51;53990;2022-08-02T07:51:57
2;deliver;Computer;Trace haptic Awesome;https://justice.org;2022-08-02T12:26:03;87003;2022-08-01T19:26:31
3;Rwanda Bike paradigms;Liaison Overpass;Small;http://leonel.name;2022-08-02T02:33:13;19363;2022-08-02T08:39:49
4;card Dinar;Estates;synthesize portals;http://yoshiko.org;2022-08-02T07:35:46;78378;2022-08-02T00:45:54
5;Planner;dynamic;Agent Canyon;https://ulises.org;2022-08-01T18:58:01;33176;2022-08-01T18:19:44
6;Home;Tuna;Tuna Toys;http://helen.name;2022-08-02T08:36:54;11909;2022-08-01T17:01:42
7;Pound;Metrics Arkansas;Mount Concrete Personal;http://theresia.name;2022-08-02T13:18:02;93798;2022-08-01T23:00:30
8;bluetooth;Regional Grass-roots;drive;http://mitchell.biz;2022-08-02T02:22:57;62715;2022-08-01T23:40:59
9;District;Buckinghamshire B2B;technologies eyeballs Illinois;http://reina.biz;2022-08-01T20:40:10;66886;2022-08-02T06:19:40
10;Shirt;Car Synergistic Architect;Gambia;http://frances.net;2022-08-01T19:09:21;5242;2022-08-02T14:29:29
