id;name;country_code_2;country_code_3;phone_code;region
1;vortals Car Hill;virtual Riyal;Steel optimize;encoding Response Tasty;Asia
2;wireless overriding;scalable;intuitive Tuna;Direct;Europe
3;cutting-edge;Chips alarm;generation;Small Credit Enterprise-wide;Oceania
4;Soap Oklahoma synergies;Checking;scalable invoice group;Granite purple state;Americas
5;virtual Metal Mississippi;Plastic Way;Vision-oriented;Computers enhance Sleek;Asia
6;payment Seamless;Grocery Tasty navigating;SAS Legacy Director;reintermediate;Asia
7;Director Versatile;Guatemala;Steel Rustic;Focused;Africa
8;Designer mindshare Knolls;Customer Configuration;overriding indexing;ubiquitous Bacon;Africa
9;Palladium interactive;Usability Customer Loan;array;green;Africa
10;integrate Granite;primary District encryption;Oregon Unbranded;hierarchy copying;Americas
