id;asn;asn_org;country_code_2;country_code_3;ip;lat;lon
1;69742;Mouse grid-enabled;Analyst Rustic;neural parsing USB;UIC-Franc Fantastic;63621;71657
2;26179;to Wooden;boliviano Franc;back-end;Concrete monitor Shoes;36419;4812
3;92634;Yemen salmon;Walk Wooden;Tuna;Table Checking;35766;68110
4;25259;enable innovative;Barbados;Security;purple;18359;61679
5;68652;Focused payment RAM;multi-byte;Steel Assistant SQL;Rubber Somalia;42990;2541
6;17555;Rubber;Avon synthesize Supervisor;generating Metrics;orange;22892;79089
7;89857;generating Account Mexican;fuchsia;Paradigm;Metal Table explicit;58581;17833
8;69086;Rustic Bedfordshire;Developer Industrial;North Health;Chips fuchsia Kentucky;38954;23470
9;41271;Wooden;Legacy USB;Metal Regional;calculate Grocery;70064;53839
10;86075;Unbranded recontextualize;dedicated Versatile feed;workforce Buckinghamshire Tuna;frame;53541;34694
