id;code;name;description;created_at;created_by;modified_at
1;Shirt XSS;paradigms;Accounts Texas impactful;2022-08-02T11:28:40;69209;2022-08-01T17:40:01
2;Dynamic invoice;invoice payment payment;Rupiah product;2022-08-02T01:54:25;77417;2022-08-01T18:28:14
3;deposit;connecting scale;multi-byte neural responsive;2022-08-02T07:09:18;77890;2022-08-02T05:39:00
4;Bacon Electronics;Fresh;Accounts;2022-08-01T21:23:35;61857;2022-08-02T01:23:32
5;Applications;Generic Senior;systemic;2022-08-02T07:36:13;63042;2022-08-02T10:19:32
6;client-server TCP;orchid;Account SQL SSL;2022-08-01T23:35:30;16957;2022-08-02T15:49:46
7;Kiribati;Borders optical payment;Serbia Toys;2022-08-01T16:47:11;27765;2022-08-02T04:01:45
8;Berkshire Brand;feed Internal;EXE;2022-08-02T04:26:08;17871;2022-08-02T06:48:40
9;azure vortals;transmitter;application;2022-08-02T03:30:34;44737;2022-08-02T10:31:33
10;Practical Product interfaces;Internal Health Fresh;Yuan teal;2022-08-01T21:27:47;76918;2022-08-02T03:55:58
